ethereum-tests/GeneralStateTests/stPreCompiledContracts/modexpTests.json
2024-07-28T14:36:11.122Z [FAILED] 6/9,0 modexpTests 49/127 data:63,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48751","state_root":"0xe7fe5fde93fe377f9e2a508d151766447e6775196d8834ad6658da532924cda8","expected":"0xf030f2aa79433e028a8c855b633d165380c6a695579d70f73a972427158edb01","hash":"0x9a3614151dc59176b3e8b45edac87f3b1b2f9308e72b7458f57af3efe21ca22e"}
2024-07-28T14:36:11.335Z [FAILED] 6/9,0 modexpTests 50/127 data:64,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48799","state_root":"0xeebc43a3bbbe047a0458d7f82a617002b7f38d1557ccf009daa1ce8a26bc115b","expected":"0x5c1b0a1d955981d5aebccc1eb17a795ef206870e954dd20cd3ac7f2b4c61c62c","hash":"0x17f17d3ff270c4dedff4d1043ca5d5d8a79f63eeb70d4db54f1ee810968bcbbb"}
2024-07-28T14:36:11.548Z [FAILED] 6/9,0 modexpTests 51/127 data:65,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48811","state_root":"0x628aba7da3cd7d92af6889efd7c099fa056ae965efa2e73e59a005653d0c4ab8","expected":"0xb936fac1d41976696d1db6fd9e287035cf56be9a00abf02251bf970c45c5ac63","hash":"0x552ec79221bbdac3cee66b8bdb2bca5cfefbf7b9ce2a5a8d32d8e16c59418a06"}
2024-07-28T14:36:11.761Z [FAILED] 6/9,0 modexpTests 52/127 data:66,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48823","state_root":"0x23666c7f31f6d7a2cf46b0ab044df1219dd8d241523f328855638ed0641a6f48","expected":"0xf0c4f6382eb01affdc265420577cfa2c92e1e8708245d62a54717745b8a5041f","hash":"0xbfdc32f9499b53ff75cdf8ba1904d2d6bd4a09f28755a3e1e2441149ed9cc6ff"}
2024-07-28T14:36:11.973Z [FAILED] 6/9,0 modexpTests 53/127 data:67,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48703","state_root":"0xdbba517643383bb5b02559967f5b2dc6027478f475d0938e4240ccc210e25880","expected":"0xbcbc1265dad7e037bd067242034650f561fa3ed85db436f766883461042d865c","hash":"0xc892bd1b50a26a8351ea83672bc73e3eaa1ae2c2b7aaa9fc55da833d81445399"}
2024-07-28T14:36:12.186Z [FAILED] 6/9,0 modexpTests 54/127 data:68,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48715","state_root":"0x5899eaaa8ef8d132199452f3aefdd942db53bbf98a082f1436cdef878c93f9af","expected":"0x44b6bbb580d97b47d1b3f3a04b026469425a9e6ebed9df40b45c1b3e763f1cef","hash":"0x0d68e32a43c6bf12f71aa623e8fe4ad90ce00e867b442461c23fd74066018f78"}
2024-07-28T14:36:12.403Z [FAILED] 6/9,0 modexpTests 55/127 data:84,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48715","state_root":"0x5899eaaa8ef8d132199452f3aefdd942db53bbf98a082f1436cdef878c93f9af","expected":"0x44b6bbb580d97b47d1b3f3a04b026469425a9e6ebed9df40b45c1b3e763f1cef","hash":"0x5b799888ac517b3bfa2d53081741e66bdf37ecff6b00d8aafe0309dd78d5f711"}
2024-07-28T14:36:12.616Z [FAILED] 6/9,0 modexpTests 56/127 data:85,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48727","state_root":"0xf3ad5b01f48acacf7fcb243811c5c4dd9fdfea251a05613f082001f0033035c5","expected":"0x6245282757ce8c94d5d0dc8a2b27b4ff3ae94b8ef0052f27f455382927e77cd2","hash":"0x0e2e9bb3745e1b06d15544de000e817d2354ba386ebde271ad606caed77a8306"}
2024-07-28T14:36:12.829Z [FAILED] 6/9,0 modexpTests 57/127 data:101,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48715","state_root":"0x5899eaaa8ef8d132199452f3aefdd942db53bbf98a082f1436cdef878c93f9af","expected":"0x44b6bbb580d97b47d1b3f3a04b026469425a9e6ebed9df40b45c1b3e763f1cef","hash":"0x425a5074f5d77736657f3b9a2d99dcab2915b253948652774010180574653c94"}
2024-07-28T14:36:13.042Z [FAILED] 6/9,0 modexpTests 58/127 data:102,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48727","state_root":"0xf3ad5b01f48acacf7fcb243811c5c4dd9fdfea251a05613f082001f0033035c5","expected":"0x6245282757ce8c94d5d0dc8a2b27b4ff3ae94b8ef0052f27f455382927e77cd2","hash":"0x93ddb6934469832f0889fc88a0e65a22e45f35e3aed9c5fb076c94fe99779242"}
2024-07-28T14:36:13.456Z [FAILED] 6/9,0 modexpTests 59/127 data:104,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48703","state_root":"0xdbba517643383bb5b02559967f5b2dc6027478f475d0938e4240ccc210e25880","expected":"0xbcbc1265dad7e037bd067242034650f561fa3ed85db436f766883461042d865c","hash":"0x2a78dc1529ea585eddb5eb033c06e5f6afd574ec6b6e4413fa0e6a9f8fc4ba29"}
2024-07-28T14:36:13.669Z [FAILED] 6/9,0 modexpTests 60/127 data:105,gas:0,value:0 0_m_n {"gas_refund":"0","gas_usage":"48715","state_root":"0x5899eaaa8ef8d132199452f3aefdd942db53bbf98a082f1436cdef878c93f9af","expected":"0x44b6bbb580d97b47d1b3f3a04b026469425a9e6ebed9df40b45c1b3e763f1cef","hash":"0xf6ad90537a7c9f043bb7e05e7e98869f14f03a7f32c4796191e03a220b322417"}
